loan_status,term,sub_grade,initial_list_status,application_type,verification_status,purpose,home_ownership,earliest_cr_line,loan_amnt,int_rate,installment,annual_inc,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies
1, 36 months,C4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Aug-2003,3600.0,13.99,123.03,55000.0,5.91,7.0,0.0,2765.0,29.7,13.0,1.0,0.0
1, 36 months,C1,w,Individual,Not Verified,small_business,MORTGAGE,Dec-1999,24700.0,11.99,820.28,65000.0,16.06,22.0,0.0,21470.0,19.2,38.0,4.0,0.0
1, 60 months,B4,w,Joint App,Not Verified,home_improvement,MORTGAGE,Aug-2000,20000.0,10.78,432.66,63000.0,10.78,6.0,0.0,7869.0,56.2,18.0,5.0,0.0
1, 60 months,F1,w,Individual,Source Verified,major_purchase,MORTGAGE,Jun-1998,10400.0,22.45,289.91,104433.0,25.37,12.0,0.0,21929.0,64.5,35.0,6.0,0.0
1, 36 months,C3,w,Individual,Source Verified,debt_consolidation,RENT,Oct-1987,11950.0,13.44,405.18,34000.0,10.2,5.0,0.0,8822.0,68.4,6.0,0.0,0.0
1, 36 months,B2,f,Individual,Not Verified,debt_consolidation,MORTGAGE,Jun-1990,20000.0,9.17,637.58,180000.0,14.67,12.0,0.0,87329.0,84.5,27.0,4.0,0.0
1, 36 months,B1,w,Individual,Not Verified,major_purchase,MORTGAGE,Feb-1999,20000.0,8.49,631.26,85000.0,17.61,8.0,0.0,826.0,5.7,15.0,3.0,0.0
1, 36 months,A2,w,Individual,Not Verified,credit_card,RENT,Apr-2002,10000.0,6.49,306.45,85000.0,13.07,14.0,1.0,10464.0,34.5,23.0,1.0,1.0
1, 36 months,B5,w,Individual,Not Verified,credit_card,MORTGAGE,Nov-1994,8000.0,11.48,263.74,42000.0,34.8,8.0,0.0,7034.0,39.1,18.0,1.0,0.0
1, 36 months,C2,w,Individual,Not Verified,other,MORTGAGE,Jun-1996,1400.0,12.88,47.1,64000.0,34.95,17.0,0.0,37828.0,67.2,24.0,4.0,0.0
0, 60 months,E2,w,Individual,Not Verified,debt_consolidation,RENT,Jun-2005,18000.0,19.48,471.7,150000.0,9.39,18.0,1.0,14052.0,40.7,27.0,2.0,1.0
1, 36 months,A2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,May-1984,28000.0,6.49,858.05,92000.0,21.6,16.0,0.0,51507.0,64.5,24.0,2.0,0.0
1, 36 months,A4,w,Individual,Not Verified,credit_card,MORTGAGE,Jun-1996,9600.0,7.49,298.58,60000.0,22.44,7.0,0.0,7722.0,59.4,9.0,0.0,0.0
1, 36 months,A4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Dec-2001,25000.0,7.49,777.55,109000.0,26.02,9.0,0.0,20862.0,54.3,19.0,3.0,0.0
1, 60 months,C1,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Nov-1993,18000.0,11.99,400.31,112000.0,8.68,17.0,0.0,10711.0,15.5,27.0,4.0,0.0
1, 36 months,E3,w,Individual,Verified,debt_consolidation,RENT,Mar-2005,8650.0,19.89,320.99,55000.0,25.49,18.0,1.0,9568.0,46.0,19.0,0.0,1.0
1, 60 months,C2,w,Individual,Verified,debt_consolidation,MORTGAGE,May-2004,29900.0,12.88,678.49,65000.0,21.77,15.0,0.0,31682.0,46.7,31.0,2.0,0.0
1, 60 months,C5,w,Individual,Not Verified,credit_card,MORTGAGE,Jun-1991,16000.0,14.85,379.39,48000.0,33.18,11.0,2.0,19108.0,29.6,19.0,2.0,0.0
1, 36 months,C3,w,Individual,Source Verified,debt_consolidation,OWN,May-2000,28000.0,13.44,949.38,125000.0,7.49,6.0,0.0,22780.0,63.1,22.0,0.0,0.0
1, 36 months,C3,w,Individual,Verified,credit_card,RENT,Oct-2011,5000.0,13.44,169.54,79000.0,12.7,3.0,0.0,9441.0,101.5,5.0,0.0,0.0
1, 36 months,A4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,May-1994,6000.0,7.49,186.61,100000.0,13.28,9.0,0.0,8563.0,72.0,16.0,2.0,0.0
0, 36 months,C5,w,Individual,Source Verified,debt_consolidation,RENT,Jul-2011,4225.0,14.85,146.16,35000.0,15.22,6.0,0.0,1058.0,24.6,6.0,0.0,0.0
1, 36 months,A1,w,Individual,Not Verified,debt_consolidation,OWN,May-1991,20000.0,5.32,602.3,65000.0,18.83,12.0,0.0,2269.0,3.0,17.0,0.0,0.0
1, 60 months,D4,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Apr-2002,16000.0,17.97,406.04,109000.0,23.35,11.0,0.0,42469.0,87.6,33.0,1.0,0.0
1, 36 months,A1,w,Individual,Source Verified,credit_card,MORTGAGE,May-2001,17600.0,5.32,530.03,88000.0,26.59,20.0,0.0,12203.0,34.4,42.0,5.0,0.0
1, 36 months,A1,w,Individual,Source Verified,home_improvement,MORTGAGE,Jun-2002,15000.0,5.32,451.73,44000.0,15.34,7.0,0.0,17003.0,50.3,21.0,2.0,0.0
0, 36 months,C2,w,Individual,Not Verified,small_business,MORTGAGE,Dec-1985,16000.0,12.88,538.18,65000.0,18.96,7.0,1.0,5157.0,54.3,20.0,0.0,0.0
0, 60 months,F3,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Apr-2007,24250.0,24.24,701.01,75000.0,20.84,18.0,0.0,24799.0,65.3,21.0,2.0,0.0
